SKU do Kit,SKU do Componente,Nome do Componente,Custo no Anúncios_Kits
KMBMV5291,MABRDI100,Dinheiro Dinheirinho - 100 Notas - 1 Unidade,0.0
KMBMVANG96,MADOCFV,Canudinho Twist Dino 26g - Frutas Vermelhas - 1 Unidade,
KMBMVANG98,MADOPGM,Pescoço de Girafa - Morango - 1 Unidade,
KMBMVSA067,ROTKMB10-8,Kit KMBMVSA067,0.0
KMBMVSA068,ROTKMB10-6,Kit KMBMVSA068,0.0
KMBMVSA070,ROTKMBMVSA070,Kit KMBMVSA070,0.0
KMBPH1045,ROTKMB10-7,Kit KMBPH1045,0.0
KMBPH1045,ROTKMB10-7,Kit KMBPH1045,0.0
KPEC3000,MAISCFC,Isca Fundo - 1 Unidade,0.0
KPEC3000,MAISCFC,Isca Fundo - 1 Unidade,0.0
KPEC3000,MAISCFC,Isca Fundo - 1 Unidade,0.0
KPEC3000,MAISCMAC,Isca Meia água - 1 Unidade,0.0
KPEC3000,MAISCMAC,Isca Meia água - 1 Unidade,0.0
KPEC3000,MAISCMAC,Isca Meia água - 1 Unidade,0.0
MABRBAR,MAISCIC,Isca Cigarrinha - 1 Unidade,0.0
MABRSQURRX,MABRSQO,Squishy Ouriço Mamona Nariz - 1 Unidade,0.0
MAG593,MALIMOV30C,LINHA MONOFILAMENTO VICTOR 0.30mm (100 METROS) - 1 Unidade,0.0
MAG593,MALIMOV30C,LINHA MONOFILAMENTO VICTOR 0.30mm (100 METROS) - 1 Unidade,0.0
MATMM1001,MABRMMEL,Mão Mecânica Biônica - 1 Unidade,0.0
MATMM1001,MABRMMEL,Mão Mecânica Biônica - 1 Unidade,0.0
MLB188647937484899811750,MAPEISTARJH,Isca Artficial - Tartaruga - 1 Unidade,0.0
MLB188647937484899811750,MAPEISTARJH,Isca Artficial - Tartaruga - 1 Unidade,0.0
MOVACMIK2100,MAVMF240C,"VARA P/MOLINETE fluorescente 2,40M - 1 Unidade",0.0
MOVACMIK2100,MAVMF240C,"VARA P/MOLINETE fluorescente 2,40M - 1 Unidade",0.0
MOVACMIK2100,MAVMF240C,"VARA P/MOLINETE fluorescente 2,40M - 1 Unidade",0.0
PP1137,MAVM170C,"Vara para Molinete 1,70m - 1 Unidade",0.0
PP650,MAVA240C,,0.0
PP982,MALIMOV50C,LINHA MONOFILAMENTO VICTOR 0.50mm (100 METROS) - 1 Unidade,0.0
